"OTU_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Domain","Phylum","Class","Order","Family","Genus","Species"
"2f4757a6093db08476021e1156a3b23e",5.46112446088657,-8.58217063438644,0.739257385989103,-11.6091780711853,3.70156518696271e-31,4.18647022645482e-28,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_corporis"
"49d2bc4e1ca21beda63f435390359b3f",10.1490572519241,-9.46749371102172,0.813029098087595,-11.6447169397641,2.44130865833688e-31,4.18647022645482e-28,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_disiens"
"2b49eb6389058e397dc5a66d6b62d0b6",4.95303614071588,-8.40611198722996,0.733984519192619,-11.4527101967718,2.27906604177201e-30,1.71841579549609e-27,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","s__gut_metagenome"
"44a695cc087ca04384ca47d25c1efe2f",4.8606564461394,-8.37165802284069,0.732933586927476,-11.422123603225,3.24213545193313e-30,1.83342759806819e-27,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcales-Tissierellales","g__Anaerococcus","s__Anaerococcus_vaginalis"
"7b0ad49a5789bd79f4d05f983909e1c9",4.65280213334229,-8.29098967892898,0.73041738554478,-11.3510300316102,7.32941328820998e-30,3.31582657158619e-27,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_disiens"
"9072c11eed0567891a4bc23454ef9a4f",8.4401582732989,-9.02875199283228,0.812208450099873,-11.116299013784,1.04518306552694e-28,3.94034015703655e-26,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcales-Tissierellales","g__Finegoldia","s__Finegoldia_magna"
"103105629e79ec5a577f1f9a770d8768",3.47496102749206,-7.72207150858635,0.71204337821786,-10.8449453289118,2.10761834978358e-27,6.8106181531578e-25,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcales-Tissierellales","g__Peptoniphilus",NA
"1f41801e35b6a705400b7d6fb4713eee",3.12847182601403,-7.4685778966725,0.723168748271885,-10.3275728030556,5.28817507087822e-25,1.32909466781406e-22,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Dialister","s__Dialister_propionicifaciens"
"6b3ebc9f464286d97d7acd4f259a1200",2.71282854723602,-7.18088272380121,0.694802865452572,-10.3351368868115,4.88713843258417e-25,1.32909466781406e-22,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcales-Tissierellales","g__Peptoniphilus","s__Peptoniphilus_lacrimalis"
"f99750472c2ab340cb41489da18aed52",7.94384400885651,-8.83965150095557,0.858784776741871,-10.2932093585685,7.56132707407063e-25,1.71037218415478e-22,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_intermedius"
